epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3174,1.18606,1.29988,1.41868,0.71261,0.70829,0.71688,0.43217,1.51023,1.79541,1.65796,0.000415076,0.000415076,0.000415076
2,170.763,1.16934,1.02026,1.39586,0.79863,0.81584,0.83449,0.56456,1.22378,1.18412,1.47836,0.000815274,0.000815274,0.000815274
3,252.657,1.16312,1.01377,1.39628,0.78663,0.70115,0.76284,0.5421,1.1933,1.41789,1.50453,0.00119897,0.00119897,0.00119897
4,333.356,1.12809,0.95232,1.37248,0.89823,0.84156,0.90394,0.64964,1.04213,0.94452,1.32626,0.00117575,0.00117575,0.00117575
5,414.806,1.06199,0.87489,1.31648,0.88593,0.82048,0.89407,0.64082,1.1132,0.95059,1.46216,0.001151,0.001151,0.001151
6,497.545,1.02391,0.80966,1.28923,0.8952,0.8743,0.92357,0.7089,0.94252,0.74858,1.29911,0.00112625,0.00112625,0.00112625
7,579.508,0.99424,0.75665,1.27214,0.89432,0.87211,0.91277,0.71435,0.87277,0.76506,1.25684,0.0011015,0.0011015,0.0011015
8,662.141,0.95681,0.72358,1.24612,0.92677,0.91451,0.95129,0.75588,0.84373,0.66048,1.20683,0.00107675,0.00107675,0.00107675
9,744.853,0.9395,0.69218,1.24161,0.94481,0.9112,0.95484,0.77679,0.72956,0.57488,1.12813,0.001052,0.001052,0.001052
10,826.017,0.90473,0.67384,1.21912,0.95119,0.91541,0.95682,0.77815,0.72656,0.5301,1.12071,0.00102725,0.00102725,0.00102725
11,908.038,0.88189,0.63893,1.2054,0.92932,0.90707,0.94939,0.76366,0.69248,0.53723,1.09802,0.0010025,0.0010025,0.0010025
12,990.91,0.87553,0.62084,1.19814,0.93777,0.9237,0.95681,0.7809,0.72689,0.52883,1.12216,0.00097775,0.00097775,0.00097775
13,1073.55,0.86145,0.61115,1.18874,0.94247,0.93978,0.95915,0.79793,0.6541,0.50707,1.07436,0.000953,0.000953,0.000953
14,1154.86,0.8321,0.58706,1.17305,0.92873,0.93753,0.95882,0.76953,0.70017,0.51936,1.09785,0.00092825,0.00092825,0.00092825
15,1237.26,0.83165,0.57728,1.16817,0.95261,0.93333,0.95935,0.78984,0.68852,0.4986,1.07051,0.0009035,0.0009035,0.0009035
16,1319.88,0.81739,0.57108,1.16299,0.95006,0.93895,0.96625,0.80653,0.63021,0.47107,1.049,0.00087875,0.00087875,0.00087875
17,1401.44,0.80045,0.54967,1.15117,0.94446,0.94661,0.96289,0.7997,0.65745,0.45974,1.07471,0.000854,0.000854,0.000854
18,1483.73,0.79308,0.53426,1.14073,0.95595,0.94411,0.9514,0.79818,0.61519,0.45151,1.04295,0.00082925,0.00082925,0.00082925
19,1566.46,0.76978,0.52645,1.13618,0.95737,0.94665,0.9636,0.81327,0.63583,0.43643,1.05799,0.0008045,0.0008045,0.0008045
20,1648.09,0.76071,0.51096,1.12859,0.95011,0.95438,0.96174,0.82458,0.57304,0.45877,1.02244,0.00077975,0.00077975,0.00077975
21,1730.01,0.74942,0.49527,1.12086,0.96216,0.9484,0.96291,0.82987,0.58973,0.41371,1.02156,0.000755,0.000755,0.000755
22,1812.43,0.7324,0.48521,1.11022,0.94743,0.96007,0.97083,0.83931,0.58951,0.41227,1.03344,0.00073025,0.00073025,0.00073025
23,1894.05,0.7339,0.48863,1.10679,0.96191,0.94819,0.96796,0.83302,0.57236,0.4101,1.02815,0.0007055,0.0007055,0.0007055
24,1976.67,0.71983,0.47709,1.10153,0.95461,0.94488,0.97134,0.83427,0.57682,0.41365,1.02866,0.00068075,0.00068075,0.00068075
25,2059.25,0.71348,0.46652,1.0927,0.95976,0.9483,0.967,0.84025,0.56156,0.40276,1.00788,0.000656,0.000656,0.000656
26,2140.67,0.70625,0.46749,1.09476,0.95242,0.95518,0.96709,0.84298,0.55881,0.39241,1.00357,0.00063125,0.00063125,0.00063125
27,2223.12,0.69211,0.45464,1.08583,0.96059,0.94583,0.96691,0.84869,0.52797,0.39048,0.98921,0.0006065,0.0006065,0.0006065
28,2306.2,0.68731,0.44534,1.086,0.9552,0.95531,0.96624,0.84317,0.55266,0.38956,1.00753,0.00058175,0.00058175,0.00058175
29,2387.37,0.68504,0.44639,1.08169,0.96509,0.95218,0.96947,0.84529,0.53842,0.37657,0.98634,0.000557,0.000557,0.000557
30,2469.17,0.67415,0.43587,1.07676,0.95278,0.9508,0.96744,0.83821,0.54805,0.40278,1.01255,0.00053225,0.00053225,0.00053225
31,2551.94,0.65283,0.4183,1.06599,0.959,0.94748,0.96845,0.84511,0.54104,0.37355,0.99419,0.0005075,0.0005075,0.0005075
32,2633.21,0.66068,0.42286,1.06641,0.95973,0.96066,0.97336,0.85636,0.52397,0.34588,0.98669,0.00048275,0.00048275,0.00048275
33,2715.78,0.65438,0.4203,1.05971,0.95173,0.96561,0.96872,0.84775,0.53415,0.35668,0.99758,0.000458,0.000458,0.000458
34,2798.84,0.63372,0.4033,1.05353,0.96409,0.95736,0.97729,0.8649,0.51897,0.35559,0.99003,0.00043325,0.00043325,0.00043325
35,2880.59,0.63284,0.40254,1.05158,0.96295,0.95113,0.97108,0.86149,0.50839,0.353,0.9739,0.0004085,0.0004085,0.0004085
36,2963.12,0.62933,0.39978,1.05184,0.96415,0.95352,0.97324,0.86361,0.50849,0.34659,0.98006,0.00038375,0.00038375,0.00038375
37,3045.72,0.62498,0.39431,1.05062,0.95927,0.95831,0.97533,0.86384,0.51233,0.35846,0.97663,0.000359,0.000359,0.000359
38,3130.5,0.62128,0.39432,1.05131,0.95916,0.96301,0.97706,0.86321,0.50753,0.34239,0.97805,0.00033425,0.00033425,0.00033425
